sample_name	cp	result
261_2mm	24.573333333333334	0.9637071183915511
303_2mm	29.47666666666667	0.032202875635290465
305_2mm	23.47	2.070529847682756
261_4mm	24.986666666666668	1.2058078276907571
303_4mm	31.330000000000002	0.014850616839231237
305_4mm	23.666666666666668	3.0104934948221267
261_1-2mm	24.616666666666664	0.3643339477667368
303_1-2mm	31.05666666666667	0.004196299406301892
305_1-2mm	23.213333333333335	0.9637071183915511
261_3-4mm	24.03333333333333	0.3660214239864065
303_3-4mm	29.349999999999998	0.009183968017840698
305_3-4mm	21.973333333333333	1.5262592089605584
261_4-5mm	24.61	0.2786771591472304
303_4-5mm	31.19333333333333	0.002906167019348506
305_4-5mm	21.796666666666667	1.9588405951738521
